description        ↓,List,Tuple,dictionary,Sets
Remark (type),list,tup,dict,set
Defination,An ordered collection of data.,An ordered collection of data.,An unordered collection of key-value pair.,An unordered and unindexed collection of data.
constructure,[ ],( ),{ },{ }
Example,"[ ""December"",1,2,3,True,4.5 ]","( ""December"",1,2,3,True,4.5 )","{""date"":22,""month:""jan"",""year"":1996}","{ 1,5,6,7,9,2,4,8 }"
Alteration Type,mutable,immutable,mutable,mutable
Duplicate entry,Possible,Possible,Not Possible,Not possible
